id	keyword	context	weight	payload
72	浮間舟渡	3	661	浮間舟渡 埼京線
73	戸田公園	3	229	戸田公園 埼京線
74	戸田	3	115	戸田 埼京線
75	北戸田	3	788	北戸田 埼京線
76	武蔵浦和	3	359	武蔵浦和 埼京線
77	中浦和	3	53	中浦和 埼京線
78	南与野	3	562	南与野 埼京線
79	与野本町	3	688	与野本町 埼京線
80	北与野	3	727	北与野 埼京線
81	大宮	3	47	大宮 埼京線
82	日進	3	203	日進 埼京線
83	御茶ノ水	4	609	御茶ノ水 総武線
84	秋葉原	4	23	秋葉原 総武線
85	浅草橋	4	683	浅草橋 総武線
86	両国	4	13	両国 総武線
87	錦糸町	4	237	錦糸町 総武線
88	亀戸	4	797	亀戸 総武線
89	平井	4	534	平井 総武線
90	新小岩	4	560	新小岩 総武線
91	小岩	4	924	小岩 総武線
92	市川	4	522	市川 総武線
93	本八幡	4	404	本八幡 総武線
94	下総中山	4	73	下総中山 総武線
95	西船橋	4	330	西船橋 総武線
96	船橋	4	322	船橋 総武線
97	東船橋	4	280	東船橋 総武線
98	津田沼	4	480	津田沼 総武線
99	幕張本郷	4	734	幕張本郷 総武線
100	幕張	4	330	幕張 総武線
101	新検見川	4	915	新検見川 総武線
102	稲毛	4	989	稲毛 総武線
103	東京	5	610	東京 東海道本線
104	新橋	5	236	新橋 東海道本線
105	品川	5	517	品川 東海道本線
106	川崎	5	642	川崎 東海道本線
107	横浜	5	892	横浜 東海道本線
108	戸塚	5	557	戸塚 東海道本線
109	大船	5	87	大船 東海道本線
110	藤沢	5	979	藤沢 東海道本線
111	辻堂	5	525	辻堂 東海道本線
112	茅ケ崎	5	900	茅ケ崎 東海道本線
113	平塚	5	866	平塚 東海道本線
114	大磯	5	204	大磯 東海道本線
115	二宮	5	789	二宮 東海道本線
116	国府津	5	334	国府津 東海道本線
117	鴨宮	5	528	鴨宮 東海道本線
118	小田原	5	763	小田原 東海道本線
119	早川	5	388	早川 東海道本線
120	根府川	5	227	根府川 東海道本線
121	真鶴	5	281	真鶴 東海道本線
122	湯河原	5	226	湯河原 東海道本線
123	東京	6	768	東京 中央線
124	神田	6	476	神田 中央線
125	御茶ノ水	6	485	御茶ノ水 中央線
126	四ツ谷	6	763	四ツ谷 中央線
127	新宿	6	819	新宿 中央線
128	中野	6	574	中野 中央線
129	高円寺	6	91	高円寺 中央線
130	阿佐ヶ谷	6	86	阿佐ヶ谷 中央線
131	荻窪	6	43	荻窪 中央線
132	西荻窪	6	270	西荻窪 中央線
133	吉祥寺	6	897	吉祥寺 中央線
134	三鷹	6	905	三鷹 中央線
135	武蔵境	6	703	武蔵境 中央線
136	東小金井	6	797	東小金井 中央線
137	武蔵小金井	6	172	武蔵小金井 中央線
138	国分寺	6	833	国分寺 中央線
139	西国分寺	6	432	西国分寺 中央線
140	国立	6	105	国立 中央線
141	立川	6	974	立川 中央線
142	日野	6	715	日野 中央線
143	豊田	6	712	豊田 中央線
144	八王子	6	385	八王子 中央線
145	西八王子	6	757	西八王子 中央線
146	高尾	6	156	高尾 中央線
147	東京	7	969	東京 京葉線
148	八丁堀	7	930	八丁堀 京葉線
149	越中島	7	995	越中島 京葉線
150	潮見	7	762	潮見 京葉線
151	新木場	7	52	新木場 京葉線
152	葛西臨海公園	7	187	葛西臨海公園 京葉線
153	舞浜	7	226	舞浜 京葉線
154	新浦安	7	13	新浦安 京葉線
155	市川塩浜	7	660	市川塩浜 京葉線
156	西船橋	7	63	西船橋 京葉線
157	二俣新町	7	917	二俣新町 京葉線
158	南船橋	7	96	南船橋 京葉線
159	新習志野	7	844	新習志野 京葉線
160	海浜幕張	7	894	海浜幕張 京葉線
161	検見川浜	7	964	検見川浜 京葉線
162	稲毛海岸	7	485	稲毛海岸 京葉線
163	千葉みなと	7	786	千葉みなと 京葉線
164	蘇我	7	33	蘇我 京葉線
